Name,Year,Gender,Count
Jane,1880,F,215
Jane,1881,F,216
Jane,1882,F,254
Jane,1883,F,247
Jane,1884,F,295
Jane,1885,F,330
Jane,1886,F,306
Jane,1887,F,288
Jane,1888,F,446
Jane,1889,F,374
Jane,1890,F,372
Jane,1891,F,379
Jane,1892,F,396
Jane,1893,F,354
Jane,1894,F,390
Jane,1895,F,394
Jane,1896,F,413
Jane,1897,F,396
Jane,1898,F,406
Jane,1899,F,382
Jane,1900,F,495
Jane,1901,F,325
Jane,1902,F,388
Jane,1903,F,381
Jane,1904,F,395
Jane,1905,F,393
Jane,1906,F,438
Jane,1907,F,526
Jane,1907,M,5
Jane,1908,F,531
Jane,1908,M,5
Jane,1909,F,627
Jane,1910,F,709
Jane,1910,M,6
Jane,1911,F,937
Jane,1912,F,1390
Jane,1913,F,1759
Jane,1913,M,7
Jane,1914,F,2340
Jane,1915,F,3265
Jane,1915,M,15
Jane,1916,F,3826
Jane,1916,M,6
Jane,1917,F,4258
Jane,1917,M,13
Jane,1918,F,4731
Jane,1918,M,10
Jane,1919,F,4526
Jane,1919,M,17
Jane,1920,F,5055
Jane,1920,M,9
Jane,1921,F,5186
Jane,1921,M,12
Jane,1922,F,4803
Jane,1922,M,18
Jane,1923,F,4919
Jane,1923,M,11
Jane,1924,F,5105
Jane,1924,M,17
Jane,1925,F,4880
Jane,1925,M,24
Jane,1926,F,4641
Jane,1926,M,22
Jane,1927,F,4699
Jane,1927,M,27
Jane,1928,F,4408
Jane,1928,M,21
Jane,1929,F,4352
Jane,1929,M,20
Jane,1930,F,4574
Jane,1930,M,21
Jane,1931,F,4535
Jane,1931,M,20
Jane,1932,F,4345
Jane,1932,M,18
Jane,1933,F,4378
Jane,1933,M,18
Jane,1934,F,4357
Jane,1934,M,18
Jane,1935,F,4644
Jane,1935,M,18
Jane,1936,F,4720
Jane,1936,M,26
Jane,1937,F,4701
Jane,1937,M,21
Jane,1938,F,4787
Jane,1938,M,26
Jane,1939,F,4770
Jane,1939,M,25
Jane,1940,F,5090
Jane,1940,M,29
Jane,1941,F,5088
Jane,1941,M,25
Jane,1942,F,5708
Jane,1942,M,24
Jane,1943,F,6028
Jane,1943,M,20
Jane,1944,F,6565
Jane,1944,M,19
Jane,1945,F,7640
Jane,1945,M,17
Jane,1946,F,8969
Jane,1946,M,36
Jane,1947,F,9941
Jane,1947,M,18
Jane,1948,F,8780
Jane,1948,M,20
Jane,1949,F,8720
Jane,1949,M,19
Jane,1950,F,8966
Jane,1950,M,21
Jane,1951,F,8929
Jane,1951,M,20
Jane,1952,F,9323
Jane,1952,M,16
Jane,1953,F,8902
Jane,1953,M,21
Jane,1954,F,8353
Jane,1954,M,17
Jane,1955,F,8332
Jane,1955,M,17
Jane,1956,F,8248
Jane,1956,M,11
Jane,1957,F,7784
Jane,1957,M,16
Jane,1958,F,7191
Jane,1958,M,21
Jane,1959,F,6872
Jane,1959,M,16
Jane,1960,F,6584
Jane,1960,M,19
Jane,1961,F,6361
Jane,1961,M,19
Jane,1962,F,6115
Jane,1962,M,12
Jane,1963,F,5766
Jane,1963,M,11
Jane,1964,F,4568
Jane,1964,M,7
Jane,1965,F,3930
Jane,1965,M,16
Jane,1966,F,3215
Jane,1966,M,8
Jane,1967,F,2728
Jane,1967,M,10
Jane,1968,F,2195
Jane,1968,M,8
Jane,1969,F,1880
Jane,1969,M,5
Jane,1970,F,1599
Jane,1971,F,1305
Jane,1971,M,6
Jane,1972,F,1161
Jane,1972,M,6
Jane,1973,F,960
Jane,1973,M,5
Jane,1974,F,828
Jane,1974,M,8
Jane,1975,F,783
Jane,1975,M,5
Jane,1976,F,698
Jane,1976,M,5
Jane,1977,F,743
Jane,1977,M,8
Jane,1978,F,699
Jane,1979,F,718
Jane,1979,M,5
Jane,1980,F,773
Jane,1981,F,763
Jane,1981,M,8
Jane,1982,F,840
Jane,1982,M,5
Jane,1983,F,782
Jane,1983,M,6
Jane,1984,F,725
Jane,1984,M,6
Jane,1985,F,709
Jane,1985,M,9
Jane,1986,F,667
Jane,1986,M,10
Jane,1987,F,667
Jane,1987,M,6
Jane,1988,F,719
Jane,1988,M,7
Jane,1989,F,780
Jane,1989,M,8
Jane,1990,F,771
Jane,1990,M,8
Jane,1991,F,708
Jane,1991,M,9
Jane,1992,F,651
Jane,1992,M,5
Jane,1993,F,687
Jane,1994,F,706
Jane,1995,F,618
Jane,1996,F,638
Jane,1997,F,648
Jane,1998,F,638
Jane,1999,F,618
Jane,2000,F,647
Jane,2001,F,670
Jane,2002,F,696
Jane,2003,F,704
Jane,2003,M,5
Jane,2004,F,657
Jane,2005,F,650
Jane,2006,F,664
Jane,2007,F,774
Jane,2008,F,826
Jane,2009,F,831
Jane,2010,F,833
Jane,2011,F,867
Jane,2012,F,927
Jane,2013,F,898
Jane,2014,F,1018
Alice,1880,F,1414
Alice,1881,F,1308
Alice,1881,M,7
Alice,1882,F,1542
Alice,1883,F,1488
Alice,1883,M,6
Alice,1884,F,1732
Alice,1885,F,1681
Alice,1885,M,9
Alice,1886,F,1811
Alice,1886,M,10
Alice,1887,F,1819
Alice,1887,M,10
Alice,1888,F,2202
Alice,1888,M,5
Alice,1889,F,2145
Alice,1889,M,9
Alice,1890,F,2271
Alice,1890,M,10
Alice,1891,F,2015
Alice,1891,M,9
Alice,1892,F,2373
Alice,1892,M,8
Alice,1893,F,2434
Alice,1893,M,11
Alice,1894,F,2414
Alice,1894,M,5
Alice,1895,F,2457
Alice,1895,M,8
Alice,1896,F,2652
Alice,1896,M,13
Alice,1897,F,2431
Alice,1897,M,17
Alice,1898,F,2846
Alice,1898,M,12
Alice,1899,F,2523
Alice,1899,M,7
Alice,1900,F,3059
Alice,1900,M,8
Alice,1901,F,2562
Alice,1901,M,10
Alice,1902,F,3135
Alice,1902,M,12
Alice,1903,F,2996
Alice,1903,M,9
Alice,1904,F,3131
Alice,1904,M,9
Alice,1905,F,3611
Alice,1905,M,15
Alice,1906,F,4192
Alice,1906,M,20
Alice,1907,F,4107
Alice,1907,M,14
Alice,1908,F,4270
Alice,1908,M,11
Alice,1909,F,4170
Alice,1909,M,15
Alice,1910,F,4671
Alice,1910,M,15
Alice,1911,F,4812
Alice,1911,M,15
Alice,1912,F,6285
Alice,1912,M,23
Alice,1913,F,6933
Alice,1913,M,24
Alice,1914,F,8197
Alice,1914,M,30
Alice,1915,F,10525
Alice,1915,M,27
Alice,1916,F,10719
Alice,1916,M,30
Alice,1917,F,10990
Alice,1917,M,25
Alice,1918,F,11590
Alice,1918,M,34
Alice,1919,F,11141
Alice,1919,M,28
Alice,1920,F,11596
Alice,1920,M,28
Alice,1921,F,11956
Alice,1921,M,35
Alice,1922,F,11274
Alice,1922,M,29
Alice,1923,F,11331
Alice,1923,M,27
Alice,1924,F,11540
Alice,1924,M,39
Alice,1925,F,11571
Alice,1925,M,51
Alice,1926,F,10953
Alice,1926,M,49
Alice,1927,F,10677
Alice,1927,M,43
Alice,1928,F,10139
Alice,1928,M,37
Alice,1929,F,9477
Alice,1929,M,47
Alice,1930,F,9517
Alice,1930,M,51
Alice,1931,F,8815
Alice,1931,M,43
Alice,1932,F,8534
Alice,1932,M,50
Alice,1933,F,7694
Alice,1933,M,40
Alice,1934,F,7781
Alice,1934,M,36
Alice,1935,F,7445
Alice,1935,M,38
Alice,1936,F,7198
Alice,1936,M,37
Alice,1937,F,7124
Alice,1937,M,41
Alice,1938,F,7487
Alice,1938,M,31
Alice,1939,F,7369
Alice,1939,M,31
Alice,1940,F,7601
Alice,1940,M,34
Alice,1941,F,7446
Alice,1941,M,39
